Section,ShrubID,SiteID,Species,StemLength,StemHeight,StemDiam,CanopyCover,Twigs,Moose,Hare,Ptarmagin,PropMoose,PropHare,PropPtarmagin,Bin_Moose,Bin_Hare,Bin_Ptarmagin,Binary_Browse,MooseFeces,HareFeces ,PtarmaginFeces,DistToRoad,RoadSide,GMU,VegCoverGIS,VegCoverOBS,SoilText,SoilMoist,LastBurn,Elevation,Aspect,Slope,X_Cord,Y_Cord
6,111-3-A-BENA,111-3,BENA,108,46,7,0,11,0,0,0,0,0,0,,,,0,0,0,0,664.632709,West,24A,Tall Shrub (Open-Closed),Low Shrub,Gravely Sand Loam,Mesic,0,511.257965,359,9.703425,-150.737553,66.498636
6,111-3-D-BENA,111-3,BENA,95,38,7,3,16,0,0,0,0,0,0,,,,0,0,0,0,664.632709,West,24A,Tall Shrub (Open-Closed),Low Shrub,Gravely Sand Loam,Mesic,0,511.257965,359,9.703425,-150.737553,66.498636
6,111-4-A-BENA,111-4,BENA,112,61,10,0,19,0,0,0,0,0,0,,,,0,0,0,0,707.594422,West,24A,Tall Shrub (Open-Closed),Low Shrub,Gravely Sand Loam,Mesic,0,515.006653,353,8.170983,-150.73833,66.498407
6,111-4-C-BENA,111-4,BENA,51,30,7,0,13,0,0,0,0,0,0,,,,0,0,0,0,707.594422,West,24A,Tall Shrub (Open-Closed),Low Shrub,Gravely Sand Loam,Mesic,0,515.006653,353,8.170983,-150.73833,66.498407
7,121-1-C-BENA,121-1,BENA,60,36,11,0,11,0,0,0,0,0,0,,,,0,0,0,0,1394.51987,East,24A,Tall Shrub (Open-Closed),Low Shrub,Clay Loam,Mesic,2005,466.470276,61,7.209129,-150.675843,66.599029
7,121-1-D-BENA,121-1,BENA,73,42,19,0,25,0,0,0,0,0,0,,,,0,0,0,0,1394.51987,East,24A,Tall Shrub (Open-Closed),Low Shrub,Clay Loam,Mesic,2005,466.470276,61,7.209129,-150.675843,66.599029
7,121-2-A-BENA,121-2,BENA,78,45,15,0,25,0,0,0,0,0,0,,,,0,0,0,0,1360.369622,East,24A,Low Shrub,Low Shrub,Clay Loam,Mesic,2005,467.582397,57,7.419251,-150.676297,66.599294
7,121-2-B-BENA,121-2,BENA,101,47,16,0,31,0,0,0,0,0,0,,,,0,0,0,0,1360.369622,East,24A,Low Shrub,Low Shrub,Clay Loam,Mesic,2005,467.582397,57,7.419251,-150.676297,66.599294
7,121-3-C-BENA,121-3,BENA,83,36,13,0,12,0,0,0,0,0,0,,,,0,0,0,0,1376.839212,East,24A,Low Shrub,Low Shrub,Clay Loam,Mesic,2005,462.586914,66,7.264894,-150.675497,66.599464
7,121-3-D-BENA,121-3,BENA,88,37,15,0,15,0,0,0,0,0,0,,,,0,0,0,0,1376.839212,East,24A,Low Shrub,Low Shrub,Clay Loam,Mesic,2005,462.586914,66,7.264894,-150.675497,66.599464
7,121-4-A-BENA,121-4,BENA,61,33,21,0,34,0,0,0,0,0,0,,,,0,0,0,0,1343.63337,East,24A,Tall Shrub (Open-Closed),Low Shrub,Clay Loam,Mesic,2005,462.975769,50,6.55981,-150.675949,66.599719
