ShrubID,Radius
191-2-A-SAPU,6.376
191-2-A-SAPU,5.408
191-2-A-SAPU,5.566
191-2-B-BENA,3.538
191-2-B-BENA,3.166
191-2-B-BENA,3.063
191-2-B-BENA,2.941
191-2-B-SAPU,5.231
191-2-B-SAPU,5.961
191-2-B-SAPU,5.876
191-2-B-SAPU,5.004
191-3-A-BENA,4.22
191-3-A-BENA,
191-3-A-BENA,4.026
191-3-A-BENA,3.479
191-3-A-SAPU,8.578
191-3-A-SAPU,9.491
191-3-A-SAPU,8.783
191-3-A-SAPU,7.69
191-3-B-SAPU,5.077
191-3-B-SAPU,5.308
191-3-B-SAPU,6.438
191-3-B-SAPU,5.443
191-3-D-BENA,4.512
191-3-D-BENA,3.778
191-3-D-BENA,5.075
191-3-D-BENA,5.184
191-4-A-BENA,5.012
191-4-A-BENA,4.501
191-4-A-BENA,5.653
191-4-A-BENA,7.635
191-4-A-SAPU,7.263
191-4-A-SAPU,6.71
191-4-A-SAPU,7.53
191-4-A-SAPU,7.825
191-4-B-BENA,4.559
191-4-B-BENA,5.807
191-4-B-BENA,4.737
191-4-B-BENA,4.174
191-4-D-SAPU,6.646
191-4-D-SAPU,5.502
191-4-D-SAPU,5.633
191-4-D-SAPU,6.095
